Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,No,Travel_Frequently,1111,Sales,2,4,Technical Degree,1,593,3,Male,37,3,4,Manager,2,Single,17929,17381,2,Y,No,18,3,4,80,0,21,6,3,18,14,1,14
18,No,Travel_Rarely,1042,Research & Development,6,3,Human Resources,1,595,2,Male,92,3,1,Laboratory Technician,2,Divorced,5157,17490,1,Y,Yes,22,3,4,80,1,11,1,3,8,7,1,2
31,No,Travel_Rarely,483,Research & Development,9,3,Marketing,1,597,3,Female,40,3,1,Laboratory Technician,4,Married,4458,18159,4,Y,No,15,3,3,80,0,10,1,3,5,3,1,4
39,No,Travel_Rarely,250,Research & Development,1,2,Medical,1,599,1,Male,87,3,1,Laboratory Technician,4,Single,5113,22768,1,Y,No,20,3,4,80,0,6,4,2,3,1,1,2
48,No,Travel_Frequently,1371,Research & Development,4,4,Technical Degree,1,601,1,Male,63,3,1,Laboratory Technician,4,Married,3033,20623,6,Y,No,19,3,1,80,1,3,2,2,2,1,0,1
32,Yes,Travel_Rarely,670,Research & Development,10,3,Life Sciences,1,603,4,Female,68,3,2,Manufacturing Director,3,Divorced,7360,22745,4,Y,Yes,13,3,4,80,0,17,3,2,12,10,3,4
20,No,Travel_Rarely,317,Research & Development,11,1,Medical,1,605,1,Male,45,3,2,Healthcare Representative,2,Divorced,8811,5844,2,Y,No,20,3,2,80,2,17,6,3,13,6,4,10
43,No,Travel_Rarely,694,Research & Development,25,3,Other,1,607,1,Male,33,2,4,Manager,3,Married,16424,11027,1,Y,Yes,17,4,2,80,1,21,4,3,18,13,1,9
31,No,Travel_Rarely,1225,Sales,13,4,Marketing,1,609,3,Female,75,3,4,Manager,2,Single,17985,8386,2,Y,No,12,3,3,80,1,19,2,1,16,6,1,5
26,No,Travel_Frequently,1040,Human Resources,7,4,Human Resources,1,611,1,Male,51,3,1,Human Resources,4,Married,7206,6773,7,Y,Yes,22,3,3,80,2,27,4,2,22,11,0,11
31,No,Travel_Rarely,855,Research & Development,9,1,Marketing,1,613,2,Female,42,3,2,Manufacturing Director,2,Single,8098,11183,4,Y,Yes,12,3,3,80,0,21,3,3,14,10,5,5
35,No,Travel_Rarely,399,Research & Development,9,4,Technical Degree,1,615,3,Male,71,3,1,Laboratory Technician,4,Single,4742,23160,3,Y,No,15,3,3,80,0,13,1,3,9,6,1,4
31,Yes,Travel_Rarely,1171,Sales,6,2,Medical,1,617,3,Male,63,2,2,Sales Executive,2,Married,6497,17944,1,Y,Yes,15,4,2,80,0,9,4,2,5,3,1,3
18,Yes,Travel_Frequently,430,Research & Development,10,1,Marketing,1,619,3,Male,42,2,2,Healthcare Representative,4,Married,6678,6915,5,Y,No,17,3,1,80,0,12,2,2,7,5,2,3
45,No,Travel_Rarely,861,Research & Development,6,4,Medical,1,621,3,Male,58,3,1,Research Scientist,2,Married,4798,16343,2,Y,No,17,4,4,80,0,12,0,2,8,4,1,5
49,No,Travel_Frequently,1358,Research & Development,10,4,Technical Degree,1,623,3,Male,76,3,2,Healthcare Representative,3,Single,10009,7559,3,Y,No,13,3,3,80,1,21,3,3,20,10,4,16
43,No,Travel_Frequently,612,Research & Development,8,3,Marketing,1,625,3,Female,98,3,1,Laboratory Technician,3,Single,5365,3633,2,Y,No,14,3,3,80,1,17,5,2,16,12,5,7
27,Yes,Travel_Rarely,1027,Human Resources,7,3,Technical Degree,1,627,3,Male,40,2,1,Human Resources,1,Married,4339,6681,2,Y,Yes,12,3,3,80,0,10,5,3,4,3,1,2
35,No,Travel_Rarely,196,Sales,7,4,Medical,1,629,3,Male,92,3,1,Sales Representative,4,Single,4933,26653,0,Y,Yes,12,3,4,80,0,14,1,3,10,4,2,7
37,No,Travel_Rarely,1474,Sales,14,4,Life Sciences,1,631,4,Male,80,4,4,Manager,3,Single,15557,17863,5,Y,No,19,3,4,80,0,15,5,3,12,9,1,7
42,No,Travel_Frequently,189,Research & Development,13,4,Life Sciences,1,633,2,Female,89,3,1,Laboratory Technician,3,Married,4557,22129,1,Y,No,18,4,1,80,0,13,3,2,11,8,1,5
43,No,Travel_Rarely,1322,Research & Development,7,3,Technical Degree,1,635,2,Male,76,3,1,Laboratory Technician,4,Married,3193,4746,3,Y,No,15,3,4,80,1,13,3,3,6,2,2,4
30,No,Travel_Rarely,1223,Research & Development,14,4,Medical,1,637,1,Male,33,3,1,Research Scientist,4,Single,4725,5285,1,Y,No,11,3,4,80,1,10,6,3,8,6,0,6
38,No,Travel_Frequently,251,Research & Development,8,5,Life Sciences,1,639,3,Male,36,3,1,Laboratory Technician,3,Divorced,7869,5250,2,Y,No,15,3,3,80,0,18,3,4,15,10,6,9
41,No,Travel_Rarely,825,Research & Development,8,2,Life Sciences,1,641,1,Male,60,3,1,Research Scientist,4,Married,5904,16331,0,Y,Yes,13,3,4,80,1,9,4,2,6,3,1,2
50,No,Travel_Rarely,207,Sales,6,4,Marketing,1,643,3,Male,59,2,4,Manager,1,Married,13092,9997,1,Y,No,19,3,3,80,0,6,3,3,3,2,1,2
43,No,Travel_Rarely,263,Sales,23,3,Marketing,1,645,4,Female,58,3,1,Sales Representative,1,Married,5219,25580,1,Y,No,11,3,3,80,1,17,3,3,12,8,1,6
44,No,Travel_Rarely,550,Research & Development,22,3,Marketing,1,647,3,Male,72,3,2,Manufacturing Director,3,Single,7553,4652,2,Y,Yes,15,3,2,80,0,10,1,2,7,6,3,3
38,No,Travel_Frequently,917,Sales,5,3,Medical,1,649,2,Male,51,3,2,Sales Executive,2,Married,6891,15446,1,Y,No,16,3,3,80,0,20,4,3,16,13,5,6
50,No,Travel_Rarely,347,Sales,6,1,Life Sciences,1,651,3,Male,77,3,2,Sales Executive,3,Married,7183,8571,3,Y,No,25,3,2,80,1,12,2,3,8,4,2,4
41,No,Travel_Rarely,1054,Research & Development,11,3,Life Sciences,1,653,2,Female,77,3,2,Manufacturing Director,2,Single,6015,17493,3,Y,No,11,3,1,80,3,7,3,3,0,0,0,0
29,No,Travel_Frequently,584,Research & Development,12,4,Life Sciences,1,655,3,Male,86,3,1,Research Scientist,3,Single,4808,12722,0,Y,No,12,3,1,80,1,13,4,2,9,8,2,3
50,No,Travel_Rarely,541,Research & Development,3,2,Marketing,1,657,3,Male,51,3,1,Research Scientist,4,Married,3841,6925,2,Y,Yes,25,4,2,80,0,10,2,2,10,9,2,8
43,No,Non-Travel,599,Research & Development,4,3,Life Sciences,1,659,1,Male,56,3,1,Research Scientist,3,Married,5119,3764,6,Y,No,14,4,3,80,0,21,2,3,16,7,3,12
33,No,Non-Travel,1084,Research & Development,12,4,Medical,1,661,4,Male,92,3,4,Manager,4,Single,12587,23571,2,Y,No,18,3,3,80,1,9,5,3,4,2,1,3
33,No,Travel_Rarely,378,Sales,2,3,Medical,1,663,2,Male,33,2,4,Manager,4,Married,14025,7581,2,Y,No,19,3,2,80,1,8,3,3,5,4,1,2
40,No,Travel_Rarely,623,Research & Development,5,3,Medical,1,665,4,Male,32,3,1,Research Scientist,2,Married,3328,2764,3,Y,No,13,3,4,80,0,9,5,3,4,3,0,2
41,No,Travel_Rarely,1309,Research & Development,15,3,Technical Degree,1,667,1,Male,69,4,1,Research Scientist,2,Divorced,8136,24981,7,Y,Yes,12,3,2,80,1,21,3,3,16,7,0,11
39,Yes,Travel_Rarely,928,Research & Development,15,3,Life Sciences,1,669,2,Male,57,2,1,Research Scientist,2,Married,2642,22496,4,Y,Yes,13,4,3,80,1,8,5,3,3,2,0,2
40,No,Travel_Rarely,587,Research & Development,23,3,Marketing,1,671,2,Male,44,1,2,Manufacturing Director,4,Single,9545,25472,3,Y,Yes,18,3,1,80,1,16,5,1,12,6,1,7
52,No,Travel_Rarely,323,Sales,28,4,Life Sciences,1,673,1,Male,80,3,4,Manager,1,Divorced,13077,6247,2,Y,No,20,4,2,80,1,6,2,3,4,2,2,1
47,No,Travel_Rarely,1084,Sales,29,3,Life Sciences,1,675,3,Male,55,3,2,Sales Executive,2,Married,9929,14535,4,Y,No,17,3,1,80,1,9,2,3,8,4,2,5
39,Yes,Travel_Frequently,961,Research & Development,6,4,Medical,1,677,3,Female,64,3,1,Research Scientist,4,Married,4221,18184,3,Y,No,15,3,3,80,0,3,3,3,2,1,1,2
45,No,Travel_Rarely,200,Research & Development,5,3,Life Sciences,1,679,3,Female,44,2,1,Research Scientist,3,Single,3700,16492,3,Y,No,13,3,4,80,1,16,2,2,11,9,2,3
28,No,Travel_Rarely,865,Research & Development,11,3,Marketing,1,681,2,Female,34,2,2,Manufacturing Director,2,Divorced,8255,25869,2,Y,No,14,3,2,80,2,9,3,2,7,5,1,3
41,No,Travel_Rarely,1397,Research & Development,2,3,Medical,1,683,3,Female,75,3,2,Manufacturing Director,2,Divorced,8259,23581,3,Y,No,21,3,2,80,2,14,2,2,13,7,4,7
53,No,Non-Travel,774,Research & Development,7,4,Life Sciences,1,685,3,Female,53,2,1,Research Scientist,4,Single,6650,23018,2,Y,Yes,20,3,1,80,0,14,3,4,11,10,3,7
35,No,Travel_Rarely,531,Research & Development,9,3,Life Sciences,1,687,2,Female,31,2,1,Research Scientist,4,Married,4435,10487,3,Y,No,13,3,4,80,1,9,1,3,6,2,1,2
29,No,Travel_Frequently,648,Research & Development,12,1,Medical,1,689,3,Male,88,2,1,Research Scientist,2,Single,3595,16216,1,Y,No,13,3,4,80,3,8,3,1,4,3,1,3
31,No,Travel_Rarely,489,Research & Development,13,2,Marketing,1,691,3,Female,65,2,4,Manager,3,Married,14497,8543,3,Y,No,19,3,1,80,1,14,4,2,8,7,2,2
27,No,Travel_Rarely,310,Research & Development,7,2,Medical,1,693,1,Male,74,2,1,Research Scientist,4,Single,3051,16348,4,Y,No,14,3,2,80,0,13,5,2,5,3,2,4
30,No,Travel_Rarely,1209,Research & Development,3,2,Medical,1,695,3,Male,66,3,2,Manufacturing Director,4,Married,10533,6533,3,Y,No,16,3,4,80,2,27,4,3,24,11,7,5
34,No,Travel_Rarely,862,Research & Development,3,3,Marketing,1,697,3,Female,86,2,1,Laboratory Technician,4,Married,3707,3422,1,Y,No,14,4,3,80,0,13,1,2,8,7,3,2
24,Yes,Travel_Rarely,307,Research & Development,1,1,Medical,1,699,3,Male,41,3,1,Laboratory Technician,3,Divorced,6275,12211,2,Y,No,13,4,3,80,0,21,0,3,17,12,7,12
37,No,Travel_Rarely,1085,Research & Development,5,4,Life Sciences,1,701,1,Male,64,3,1,Research Scientist,4,Married,5531,16735,2,Y,No,12,3,2,80,1,16,4,3,10,4,2,8
45,Yes,Travel_Rarely,1418,Sales,2,2,Medical,1,703,2,Female,51,3,2,Sales Executive,2,Married,8367,25595,3,Y,Yes,12,3,3,80,0,14,5,3,7,6,0,6
29,No,Non-Travel,871,Sales,6,3,Medical,1,705,2,Male,56,3,1,Sales Representative,1,Married,5253,21827,1,Y,No,11,3,4,80,0,13,3,3,4,2,0,1
51,No,Travel_Rarely,1011,Research & Development,11,3,Marketing,1,707,2,Male,36,3,2,Manufacturing Director,4,Divorced,8154,12613,3,Y,No,13,3,4,80,1,12,3,3,10,6,1,5
42,No,Non-Travel,724,Research & Development,3,2,Medical,1,709,2,Female,32,3,1,Laboratory Technician,3,Single,2877,15291,3,Y,No,12,3,4,80,1,7,5,3,3,2,0,1
46,No,Travel_Rarely,1398,Research & Development,9,4,Human Resources,1,711,4,Female,33,3,1,Laboratory Technician,4,Married,5223,13870,1,Y,No,13,3,3,80,2,14,3,3,9,7,2,3
31,No,Travel_Rarely,884,Research & Development,7,1,Life Sciences,1,713,3,Male,37,3,1,Research Scientist,1,Married,5119,10750,0,Y,Yes,11,3,3,80,1,11,4,3,10,6,0,3
45,No,Travel_Rarely,1296,Research & Development,11,3,Human Resources,1,715,3,Male,74,3,4,Manager,4,Married,15901,20916,0,Y,No,14,3,2,80,2,11,2,3,7,3,2,2
27,No,Travel_Rarely,1253,Sales,13,4,Medical,1,717,2,Male,49,3,4,Manager,2,Divorced,16553,19491,3,Y,No,15,3,4,80,0,19,0,3,13,9,1,10
45,No,Travel_Rarely,699,Research & Development,6,3,Medical,1,719,4,Female,34,2,1,Research Scientist,3,Single,4584,23145,2,Y,Yes,22,3,4,80,0,7,3,3,5,4,1,1
38,No,Travel_Rarely,666,Research & Development,8,2,Life Sciences,1,721,2,Male,75,3,4,Manager,1,Single,17519,14770,6,Y,No,14,3,3,80,1,17,3,4,14,12,1,9
42,No,Travel_Rarely,958,Research & Development,7,3,Life Sciences,1,723,3,Male,98,3,1,Laboratory Technician,3,Single,6514,13559,0,Y,No,11,3,1,80,1,20,0,3,17,11,6,10
26,No,Travel_Frequently,103,Research & Development,6,4,Marketing,1,725,4,Male,64,3,1,Laboratory Technician,4,Married,5754,8060,3,Y,No,14,3,3,80,1,15,1,3,10,7,4,3
29,Yes,Travel_Rarely,595,Research & Development,5,4,Medical,1,727,3,Male,94,1,2,Manufacturing Director,2,Divorced,8041,18489,3,Y,No,19,3,4,80,0,17,6,2,13,5,2,11
42,No,Travel_Frequently,478,Sales,12,4,Life Sciences,1,729,4,Female,44,3,4,Manager,2,Single,15126,5678,5,Y,Yes,14,3,3,80,0,13,1,3,11,10,5,5
28,No,Travel_Rarely,455,Research & Development,20,3,Medical,1,731,3,Male,46,3,2,Manufacturing Director,3,Married,5959,15520,2,Y,No,13,3,2,80,1,16,3,3,10,5,1,8
41,No,Travel_Rarely,567,Human Resources,18,5,Life Sciences,1,733,2,Female,75,2,1,Human Resources,4,Married,5506,11898,1,Y,No,21,3,1,80,0,17,3,3,10,7,4,8
24,No,Travel_Rarely,537,Sales,3,1,Other,1,735,2,Male,90,3,2,Sales Executive,2,Single,6336,10135,2,Y,No,13,3,2,80,2,7,5,4,3,3,1,2
45,No,Travel_Rarely,927,Research & Development,20,1,Technical Degree,1,737,2,Female,72,3,3,Research Director,2,Divorced,12352,19174,5,Y,No,24,3,4,80,1,19,5,2,15,13,2,10
26,No,Travel_Rarely,800,Research & Development,4,4,Life Sciences,1,739,1,Female,51,3,1,Research Scientist,2,Married,4939,18174,2,Y,No,20,3,4,80,1,8,2,3,7,5,0,3
42,No,Travel_Rarely,1111,Research & Development,9,2,Technical Degree,1,741,3,Male,38,3,1,Laboratory Technician,4,Divorced,5890,11003,1,Y,No,17,3,4,80,0,11,3,3,8,6,1,2
43,No,Travel_Rarely,145,Research & Development,11,1,Technical Degree,1,743,2,Male,76,3,1,Laboratory Technician,2,Single,4769,23329,5,Y,No,16,4,4,80,1,9,3,2,7,6,3,4
31,No,Travel_Rarely,708,Research & Development,2,2,Life Sciences,1,745,4,Male,32,3,1,Laboratory Technician,1,Married,4488,26745,4,Y,No,13,3,3,80,2,9,4,3,4,3,1,2
42,No,Travel_Rarely,148,Sales,7,3,Medical,1,747,2,Female,81,3,1,Sales Representative,4,Married,5106,25307,1,Y,Yes,18,3,3,80,0,14,1,2,7,5,1,5
39,No,Travel_Rarely,219,Research & Development,21,4,Medical,1,749,3,Male,60,3,3,Research Director,4,Married,14014,16845,2,Y,No,14,4,3,80,0,24,2,1,18,13,4,12
32,Yes,Travel_Rarely,1197,Research & Development,1,3,Medical,1,751,4,Female,42,4,1,Research Scientist,1,Single,4440,6445,1,Y,No,15,4,4,80,0,8,6,2,4,2,0,2
28,No,Non-Travel,372,Sales,29,2,Life Sciences,1,753,2,Female,31,3,2,Sales Executive,4,Married,7480,15902,2,Y,No,12,3,3,80,0,4,3,3,1,1,0,0
19,Yes,Travel_Frequently,1123,Research & Development,1,3,Life Sciences,1,755,3,Female,36,3,1,Research Scientist,3,Married,3563,8609,2,Y,Yes,13,3,3,80,1,5,2,4,2,1,1,1
40,No,Travel_Rarely,1117,Sales,10,4,Medical,1,757,3,Female,58,1,4,Manager,3,Single,13576,24488,3,Y,Yes,15,3,1,80,0,11,3,2,6,4,1,3
23,Yes,Travel_Frequently,1230,Research & Development,2,4,Life Sciences,1,759,2,Male,33,2,1,Laboratory Technician,2,Single,4521,3932,2,Y,Yes,15,3,2,80,1,9,1,3,2,1,0,1
38,No,Travel_Frequently,283,Research & Development,12,3,Marketing,1,761,3,Male,33,3,1,Research Scientist,4,Married,4627,20135,4,Y,No,14,3,4,80,1,7,3,2,4,2,2,3
35,No,Travel_Rarely,444,Sales,18,5,Life Sciences,1,763,2,Male,50,3,4,Manager,2,Married,16973,23584,1,Y,Yes,15,3,4,80,0,22,2,3,16,6,3,10
43,No,Travel_Rarely,919,Research & Development,15,4,Life Sciences,1,765,3,Female,74,3,2,Healthcare Representative,2,Single,9076,4679,5,Y,No,18,3,3,80,2,25,2,2,21,12,3,7
34,No,Non-Travel,1462,Sales,16,1,Technical Degree,1,767,3,Female,57,2,4,Manager,1,Single,14790,11316,3,Y,No,15,3,1,80,0,7,1,2,2,1,0,1
34,No,Travel_Rarely,558,Sales,7,1,Medical,1,769,3,Female,37,3,4,Manager,4,Divorced,15451,3392,2,Y,No,15,3,4,80,1,11,2,2,7,4,2,4
44,No,Non-Travel,324,Sales,20,2,Medical,1,771,3,Male,71,3,2,Sales Executive,3,Married,7463,20202,2,Y,Yes,18,4,4,80,0,9,0,3,6,5,2,3
40,No,Travel_Rarely,789,Research & Development,29,4,Human Resources,1,773,2,Male,46,3,2,Manufacturing Director,3,Divorced,6098,3683,1,Y,Yes,20,3,3,80,2,21,5,3,13,10,0,11
40,No,Travel_Rarely,474,Research & Development,9,2,Technical Degree,1,775,3,Female,38,2,1,Laboratory Technician,2,Single,3996,13793,2,Y,Yes,15,3,3,80,2,10,2,3,5,3,1,1
41,No,Travel_Rarely,1010,Sales,6,3,Life Sciences,1,777,4,Male,90,3,4,Manager,3,Single,17696,15052,1,Y,Yes,22,3,3,80,0,21,4,1,13,6,5,6
23,No,Travel_Rarely,1179,Sales,4,1,Medical,1,779,4,Male,98,1,4,Manager,4,Single,17894,11480,2,Y,No,14,3,3,80,0,24,3,3,21,15,6,16
44,No,Travel_Frequently,339,Human Resources,14,4,Human Resources,1,781,3,Female,70,2,4,Manager,2,Married,18671,4249,2,Y,No,13,3,4,80,1,36,4,3,30,22,12,14
42,Yes,Non-Travel,1398,Research & Development,17,3,Life Sciences,1,783,2,Male,58,3,2,Manufacturing Director,4,Married,5548,11333,2,Y,No,17,3,1,80,0,6,4,2,1,1,0,0
28,No,Travel_Rarely,937,Research & Development,6,4,Life Sciences,1,785,4,Male,83,2,1,Research Scientist,2,Single,4641,15434,1,Y,Yes,12,3,1,80,1,13,1,2,9,4,1,6
35,No,Travel_Rarely,1023,Sales,23,4,Life Sciences,1,787,2,Male,61,2,1,Sales Representative,4,Single,5901,19432,2,Y,No,21,3,1,80,2,13,3,2,8,3,3,5
37,Yes,Travel_Frequently,767,Research & Development,13,1,Life Sciences,1,789,3,Male,94,3,4,Manager,1,Single,15217,12608,3,Y,Yes,14,3,2,80,1,19,4,3,16,8,1,3
36,No,Travel_Rarely,1237,Sales,9,3,Marketing,1,791,1,Female,72,2,4,Manager,3,Married,17951,14672,0,Y,No,17,3,1,80,2,19,3,3,18,11,1,9
40,No,Travel_Rarely,213,Sales,11,1,Marketing,1,793,4,Male,98,3,2,Sales Executive,4,Divorced,8271,24074,2,Y,No,16,4,2,80,0,13,1,3,8,7,0,3
50,No,Travel_Rarely,1100,Research & Development,3,4,Human Resources,1,795,3,Male,45,1,1,Research Scientist,4,Single,10208,24435,1,Y,No,11,3,1,80,2,25,2,2,22,19,8,13
47,No,Travel_Frequently,1494,Sales,14,3,Marketing,1,797,3,Male,50,3,2,Sales Executive,2,Married,7925,9214,1,Y,No,18,3,2,80,0,13,3,3,7,4,0,4
25,No,Travel_Frequently,1210,Sales,4,1,Life Sciences,1,799,1,Female,62,3,4,Manager,3,Married,12640,25968,3,Y,Yes,19,3,2,80,0,9,5,4,4,3,1,2
43,No,Travel_Rarely,704,Research & Development,5,2,Life Sciences,1,801,3,Male,55,2,2,Healthcare Representative,1,Single,8662,23013,4,Y,No,25,3,1,80,2,14,3,2,13,12,1,8
49,No,Travel_Rarely,299,Sales,8,3,Other,1,803,3,Male,32,3,2,Sales Executive,4,Divorced,5703,12583,2,Y,No,14,3,3,80,1,9,4,3,3,2,1,1
40,No,Non-Travel,1485,Research & Development,27,4,Life Sciences,1,805,3,Male,52,3,1,Laboratory Technician,3,Single,6410,13584,1,Y,No,15,3,3,80,1,14,6,3,13,10,3,5
47,No,Travel_Rarely,586,Sales,10,3,Life Sciences,1,807,2,Male,83,2,4,Manager,2,Divorced,17634,6202,3,Y,No,20,3,1,80,1,22,4,2,13,12,1,6
55,No,Travel_Rarely,816,Research & Development,4,4,Technical Degree,1,809,3,Male,76,4,2,Manufacturing Director,1,Married,8773,7088,2,Y,No,13,3,3,80,1,22,4,3,16,9,5,6
46,No,Travel_Rarely,183,Sales,11,3,Medical,1,811,1,Female,65,2,1,Sales Representative,4,Married,5668,2446,6,Y,No,12,3,4,80,0,11,2,4,7,2,2,5
39,Yes,Travel_Frequently,1370,Research & Development,13,1,Life Sciences,1,813,3,Female,64,2,1,Laboratory Technician,3,Divorced,5928,4509,1,Y,Yes,12,4,4,80,1,17,2,3,15,14,4,9
46,No,Travel_Rarely,1040,Research & Development,19,4,Technical Degree,1,815,2,Male,72,1,1,Laboratory Technician,2,Divorced,2114,13479,1,Y,No,24,3,1,80,0,4,1,3,1,1,0,0
38,No,Travel_Rarely,367,Sales,8,1,Other,1,817,2,Male,62,3,2,Sales Executive,2,Single,9629,13045,0,Y,No,13,3,4,80,0,15,2,2,11,9,3,9
37,No,Travel_Rarely,564,Research & Development,5,4,Life Sciences,1,819,1,Female,34,3,1,Laboratory Technician,2,Divorced,5344,9549,3,Y,No,18,3,2,80,1,15,5,3,9,8,4,4
34,No,Travel_Rarely,1137,Research & Development,29,3,Technical Degree,1,821,2,Male,33,3,2,Manufacturing Director,3,Married,9892,3072,2,Y,No,15,3,1,80,2,19,2,3,17,10,0,5
51,No,Travel_Rarely,920,Sales,11,1,Life Sciences,1,823,1,Female,87,3,4,Manager,4,Divorced,20641,13880,0,Y,No,13,3,2,80,1,32,3,4,30,20,4,10
29,No,Travel_Rarely,317,Sales,4,3,Medical,1,825,4,Male,81,3,1,Sales Representative,4,Married,6784,21512,2,Y,No,21,4,2,80,0,27,4,3,24,16,3,13
51,No,Travel_Rarely,1089,Research & Development,8,5,Technical Degree,1,827,3,Female,79,3,2,Manufacturing Director,3,Married,6166,13789,3,Y,No,15,3,3,80,2,6,1,3,2,1,1,1
41,Yes,Travel_Rarely,1357,Research & Development,5,4,Human Resources,1,829,2,Female,56,3,1,Research Scientist,4,Married,3497,14626,2,Y,No,16,3,3,80,3,9,1,1,8,3,2,6
24,Yes,Travel_Rarely,144,Research & Development,20,2,Life Sciences,1,831,3,Female,39,3,1,Laboratory Technician,3,Married,3589,25559,1,Y,No,13,3,4,80,0,8,3,2,5,3,0,3
40,Yes,Travel_Rarely,259,Research & Development,13,2,Life Sciences,1,833,3,Female,91,2,1,Research Scientist,2,Married,5114,8839,3,Y,Yes,13,4,2,80,0,7,5,2,4,2,0,3
18,No,Non-Travel,1281,Research & Development,6,3,Life Sciences,1,835,4,Male,49,3,1,Research Scientist,4,Married,5695,22502,0,Y,Yes,18,3,2,80,0,13,2,2,11,6,5,3
43,No,Travel_Frequently,879,Sales,17,3,Medical,1,837,1,Female,61,3,4,Manager,2,Married,13470,26129,2,Y,No,14,3,2,80,0,11,3,2,4,2,1,3
45,No,Travel_Rarely,1223,Sales,8,4,Life Sciences,1,839,2,Male,77,3,4,Manager,2,Married,15177,24274,3,Y,No,15,3,2,80,0,11,6,3,9,7,4,7
32,No,Travel_Frequently,1206,Sales,8,2,Medical,1,841,4,Male,78,3,2,Sales Executive,4,Single,6869,23388,3,Y,No,12,3,4,80,1,14,3,4,6,5,2,2
38,Yes,Travel_Rarely,655,Sales,4,4,Life Sciences,1,843,2,Female,55,3,2,Sales Executive,1,Married,8470,19476,3,Y,No,20,3,4,80,1,16,4,3,11,8,2,3
55,Yes,Non-Travel,1276,Research & Development,4,3,Life Sciences,1,845,1,Female,64,3,2,Healthcare Representative,4,Married,6562,2593,0,Y,Yes,18,3,4,80,1,12,3,3,5,3,0,2
32,Yes,Travel_Rarely,781,Research & Development,29,4,Life Sciences,1,847,1,Female,57,3,1,Research Scientist,4,Single,6270,12752,2,Y,Yes,18,3,4,80,3,16,0,4,15,14,4,12
27,No,Travel_Rarely,1144,Research & Development,16,3,Marketing,1,849,1,Male,94,3,1,Laboratory Technician,3,Divorced,4681,15284,6,Y,No,12,3,3,80,1,9,5,2,7,3,1,4
50,No,Travel_Rarely,1373,Research & Development,1,3,Life Sciences,1,851,4,Female,55,2,2,Manufacturing Director,1,Single,7213,2276,3,Y,No,15,3,2,80,0,8,6,3,4,2,1,2
55,No,Travel_Rarely,1312,Research & Development,4,4,Life Sciences,1,853,2,Female,87,3,1,Laboratory Technician,2,Married,5382,22971,0,Y,No,11,3,3,80,1,12,2,3,8,4,2,5
37,No,Non-Travel,1445,Sales,3,3,Technical Degree,1,855,4,Male,35,3,2,Sales Executive,1,Single,6921,10274,3,Y,No,13,3,3,80,2,20,3,1,12,7,5,3
46,Yes,Travel_Rarely,893,Research & Development,9,4,Marketing,1,857,4,Male,79,3,1,Research Scientist,3,Married,3256,5383,2,Y,Yes,14,3,4,80,0,6,4,3,5,2,0,2
49,No,Travel_Rarely,771,Research & Development,6,4,Life Sciences,1,859,3,Male,78,3,2,Manufacturing Director,4,Married,8257,16437,0,Y,No,21,3,3,80,0,10,1,2,8,4,1,2
30,No,Travel_Rarely,318,Research & Development,22,3,Life Sciences,1,861,1,Male,87,3,1,Laboratory Technician,3,Married,4361,15537,1,Y,No,25,3,2,80,1,10,6,2,7,4,2,3
32,No,Travel_Rarely,1140,Sales,6,3,Medical,1,863,1,Female,75,1,2,Sales Executive,3,Divorced,6160,9553,0,Y,No,16,3,4,80,0,9,3,2,4,3,2,3
48,No,Travel_Rarely,615,Research & Development,29,1,Life Sciences,1,865,3,Female,50,3,2,Manufacturing Director,3,Married,8994,2467,2,Y,No,15,3,4,80,1,20,4,4,15,9,6,9
52,No,Travel_Rarely,1162,Research & Development,8,1,Marketing,1,867,2,Female,54,3,1,Research Scientist,3,Married,7113,17134,0,Y,No,15,3,3,80,0,20,2,3,18,13,5,15
42,Yes,Non-Travel,1119,Research & Development,29,2,Medical,1,869,3,Female,92,3,2,Manufacturing Director,4,Married,6879,7260,2,Y,No,11,3,3,80,1,15,2,3,12,8,0,4
29,No,Travel_Rarely,800,Sales,7,2,Life Sciences,1,871,2,Male,95,3,2,Sales Executive,2,Divorced,11591,2997,0,Y,No,19,3,1,80,1,27,6,3,20,9,3,9
55,No,Travel_Rarely,241,Research & Development,7,2,Medical,1,873,4,Female,64,2,4,Manager,4,Single,14544,4379,2,Y,No,17,3,3,80,0,10,5,2,6,5,2,4
32,No,Non-Travel,445,Sales,16,2,Marketing,1,875,3,Male,62,3,2,Sales Executive,3,Married,7013,7048,3,Y,Yes,17,3,1,80,0,14,5,3,6,4,1,2
34,No,Travel_Rarely,402,Sales,15,3,Technical Degree,1,877,3,Female,79,3,2,Sales Executive,2,Single,8421,11484,1,Y,No,19,3,1,80,0,16,3,3,12,5,4,4
